"","playerid","Name","R","HR","RBI","RC","AVG","OPS","pr","bpr","count_pos","pos_SS","pos_CF","pos_RF","pos_1B","pos_C","pos_3B","pos_LF","pos_2B","pos_DH","adp"
"114","16376","Michael Conforto",0.826177955620282,0.765740972723593,0.993590417328588,1.18956179265095,0.180509329811406,1.15013613333754,4.14094591162782,4.20761257829449,1,0,0,1,0,0,0,0,0,0,155
"115","16403","Francisco Mejía",-1.52381908239485,-1.0598364949468,-1.27666461029969,-1.38796181338292,-0.375745676777513,-0.617080439941841,-3.276602816061,-3.226602816061,1,0,0,0,0,1,0,0,0,0,NA
"116","16434","Christian Arroyo",-2.20270711559922,-1.54665715299224,-2.10221189307361,-2.13582665022376,-0.190183755454542,-0.347246134942497,-8.44113557503709,-8.39113557503709,1,0,0,0,0,0,0,0,1,0,NA
"117","16472","Rhys Hoskins",1.40062167602398,2.22620294685991,1.6643475845824,1.66624396567717,-0.814676517327885,2.37743747413889,6.85040423524222,6.93373756857555,1,0,0,0,1,0,0,0,0,0,120
"118","16478","Kyle Schwarber",1.45284383242432,2.34790811137127,1.40636405871555,1.53876711321752,-0.688091067619438,2.26895278561894,8.51079975701506,8.56079975701507,1,0,0,0,0,0,0,1,0,0,105
"119","16505","Matt Chapman",1.1395108940223,1.73938228881447,1.30317064836881,0.953370928729326,-1.73710905028962,0.530141545956348,4.37128783078922,4.57128783078922,1,0,0,0,0,0,1,0,0,0,133
"120","16512","Isiah Kiner-Falefa",-0.00937654678509686,-1.18154165945816,-0.605907443045883,-0.205348292692744,0.924870297951121,-1.79434485666559,-2.43252671517324,-2.36586004850658,1,1,0,0,0,0,0,0,0,0,293
"121","16535","Danny Jansen",-0.79270889279014,-0.207900343367283,-0.709100853392623,-0.873466422802981,-0.799102709276665,-0.0701243450540376,-0.487898265001117,-0.437898265001117,1,0,0,0,0,1,0,0,0,0,NA
"122","16572","Connor Joe",-0.427153797987787,-0.329605507878643,-0.296327212005662,-0.145531044977779,0.421144546548974,0.613623255216034,0.0202051622020541,0.0702051622020541,1,0,0,0,0,0,0,1,0,0,NA
"123","16578","Yandy Díaz",-0.113820859585769,-0.573015836901362,-0.141537096485552,0.221944890479675,0.848260419379684,0.229817848211766,0.914469940286034,1.4811366069527,2,0,0,0,1,0,1,0,0,0,NA
"124","16622","Luis Urías",0.512845017218265,0.157215150166795,0.374429955248148,0.504947003349173,-0.176848278475642,0.144625319474022,1.96003474216835,2.91003474216835,3,1,0,0,0,0,1,0,1,0,205
