,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
728,8241,David Robertson,CHC,54,0,61,1.24,3.82,16,-0.1002272,-0.5710987,0.07618846,0.35731151,0.56087879,1.44534525,1.7683981,204,404,200,0,1,NA,81
731,8410,Deolis Guerra,OAK,62,0,59,1.28,4.34,21,0.07271801,-0.5710987,0.0333984,0.18507382,-0.0908342,2.10632134,1.73557862,205,383,178,0,1,NA,82
240,15947,Ryne Stanek,HOU,65,0,78,1.31,4.1,16,0.13757245,-0.5710987,0.43990392,-0.0014006,0.2849185,1.44534525,1.73524082,206,405,199,0,1,NA,83
582,21620,Jake Cousins,MIL,55,0,68,1.27,3.56,13,-0.078609,-0.5710987,0.22595365,0.19251318,0.91444181,1.0487596,1.73196048,207,243,36,0,1,NA,84
134,13761,Chris Stratton,PIT,65,0,66,1.36,4.24,22,0.13757245,-0.5710987,0.18316359,-0.3488804,0.06894758,2.23851656,1.708221,209,314,105,0,1,NA,85
58,12095,Yimi García,TOR,59,0,61,1.22,4.24,17,0.00786357,-0.5710987,0.07618846,0.54154605,0.04367405,1.57754047,1.67571386,211,427,216,0,1,NA,86
352,17998,Pete Fairbanks,TBR,46,0,57,1.27,3.59,18,-0.2731723,-0.5710987,-0.0093917,0.11685003,0.69853351,1.70973569,1.67145651,212,251,39,0,1,NA,87
326,17610,Tanner Rainey,WSN,56,0,74,1.38,4.48,25,-0.0569909,-0.5710987,0.35432381,-0.4576878,-0.2879352,2.63510221,1.61571345,213,371,158,0,1,NA,88
385,18655,A.J. Minter,ATL,55,0,61,1.28,3.73,15,-0.078609,-0.5710987,0.07618846,0.13370889,0.69253762,1.31315003,1.56587724,214,232,18,0,1,NA,89
528,20367,Brusdar Graterol,LAD,55,0,50,1.26,3.64,15,-0.078609,-0.5710987,-0.1591568,0.25131746,0.81001631,1.31315003,1.56561921,215,188,-27,0,1,NA,90
361,18282,Jarlín García,SFG,61,0,56,1.27,3.99,16,0.05109986,-0.5710987,-0.0307867,0.24295527,0.41402786,1.44534525,1.55154283,217,548,331,0,1,NA,91
8,10133,Brad Boxberger,MIL,62,0,72,1.33,4.27,19,0.07271801,-0.5710987,0.31153376,-0.1463685,0.01216731,1.8419309,1.52088272,220,390,170,0,1,NA,92
632,25007,Alex Vesia,LAD,55,0,70,1.29,3.97,16,-0.078609,-0.5710987,0.2687437,0.0749046,0.37926111,1.44534525,1.51854691,221,313,92,0,1,NA,93
337,17783,Jake Brentz,KCR,55,0,64,1.38,3.9,20,-0.078609,-0.5710987,0.14037354,-0.454334,0.47063343,1.97412612,1.48109136,222,334,112,0,1,NA,94
723,7982,Anthony Bass,MIA,61,0,56,1.3,4.1,18,0.05109986,-0.5710987,-0.0307867,0.04729737,0.25477897,1.70973569,1.46102647,223,504,281,0,1,NA,95
422,19343,A.J. Puk,OAK,74,2,78,1.33,4.24,11,0.33213577,-0.095818,0.43990392,-0.1224645,0.10685786,0.78436916,1.44498421,224,166,-58,0,1,NA,96
180,14843,Michael Lorenzen,LAA,95,4,81,1.37,4.39,8,0.78611685,0.37946273,0.504089,-0.4869166,-0.142881,0.38778351,1.42765445,225,218,-7,1,1,NA,97
418,19309,Trevor Richards,TOR,59,1,64,1.25,4.12,13,0.00786357,-0.3334584,0.14037354,0.35230316,0.21170418,1.0487596,1.42754568,226,281,55,0,1,NA,98
711,7274,Craig Stammen,SDP,62,0,55,1.21,3.86,10,0.07271801,-0.5710987,-0.0521817,0.64909309,0.61546192,0.65217394,1.36616652,228,286,58,0,1,NA,99
738,9111,Brad Hand,PHI,56,0,60,1.27,4.16,17,-0.0569909,-0.5710987,0.05479343,0.20092019,0.13736144,1.57754047,1.34252592,229,409,180,0,1,334,100
