"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos","Player","ESPN","ESPNID","ESPNNAME"
"87","Sean Manaea","SFG","15873",1.09747942483645,0.987898048104644,1.26367593823609,-0.71892288329024,-0.464573317698025,-0.825458431404487,1.34009877878443,87,"SP","Sean Manaea",189,"33244","Sean Manaea"
"88","Tony Gonsolin","LAD","19388",0.679895776601385,0.57639418416161,0.706171847837816,-0.122231355408502,0.271902440667765,-0.825458431404487,1.28667446245559,88,"SP","Tony Gonsolin",180,"38958","Tony Gonsolin"
"89","Grayson Rodriguez","BAL","sa3008130",0.304070493189829,0.468103693650285,0.52033715103839,0.0165094124042416,0.73774123345933,-0.825458431404487,1.22130355233759,89,"SP","Grayson Rodriguez",242,"41196","Grayson Rodriguez"
"90","Martín Pérez","TEX","6902",1.41066716101274,0.836291361388789,1.44951063503552,-0.447399256801852,-1.30484687307621,-0.825458431404487,1.1187645961545,90,"SP","Martin Perez",224,"31098","Martin Perez"
"91","Eduardo Rodriguez","DET","13164",1.07660024242469,0.814633263286524,1.07784124143667,-0.470745947257691,-0.565391843843244,-0.825458431404487,1.10747852464246,91,"SP","Eduardo Rodriguez",306,"32675","Eduardo Rodriguez"
"92","José Urquidy","HOU","18413",1.13923778965995,0.641368478468405,1.07784124143667,-1.20347640043651,0.25927033219094,-0.825458431404487,1.08878300991497,92,"SP","Jose Urquidy",249,"35759","Jose Urquidy"
"93","Jameson Taillon","CHC","11674",1.30627124895398,0.814633263286524,0.892006544637242,-1.11329951989245,-0.0592733089274661,-0.825458431404487,1.01487979665335,93,"SP","Jameson Taillon",210,"31258","Jameson Taillon"
"94","Alex Wood","SFG","13781",0.429345587660348,0.40312939934349,0.52033715103839,0.0338289157097612,0.352104412412131,-0.728193101702466,1.01055236446166,94,"SP",NA,NA,NA,NA
"95","Ranger Suárez","PHI","17277",1.16011697207171,0.598052282263875,1.07784124143667,-0.137103035580174,-0.99357265287371,-0.825458431404487,0.879876375913878,95,"SP","Ranger Suarez",213,"39817","Ranger Suarez"
"96","Justin Steele","CHC","17312",0.84692923589541,0.836291361388789,0.706171847837816,0.0126991216770281,-0.76631387112556,-0.825458431404487,0.810319264268996,96,"SP","Justin Steele",312,NA,"Justin Steele"
"97","Collin McHugh","ATL","7531",-0.865163721868345,-0.788065996281081,-0.78050572655759,1.33027456247661,1.27544003956717,0.536256184423811,0.708235341760578,97,"SP","Collin McHugh",372,"32569","Collin McHugh"
"98","Eric Lauer","MIL","19316",1.03484187760119,0.944581851900114,0.892006544637242,-0.799516305338589,-0.557526568753899,-0.825458431404487,0.688928968641568,98,"SP","Eric Lauer",325,"39915","Eric Lauer"
"99","Clay Holmes","NYY","13649",-0.886042904280098,-0.853040290587876,-0.966340423357016,1.23441688484833,0.157498439368224,1.99523612995413,0.6817278359457,99,"SP","Clay Holmes",157,"32827","Clay Holmes"
"100","Adam Wainwright","STL","2233",1.45242552583625,0.48976179175255,1.26367593823609,-0.882580643191858,-0.927313668787727,-0.825458431404487,0.570510512440822,100,"SP","Adam Wainwright",207,"5403","Adam Wainwright"
"101","Carlos Carrasco","NYM","6632",0.84692923589541,0.771317067081994,0.892006544637242,-0.624889526676811,-0.501277934781628,-0.825458431404487,0.558626954751721,101,"SP","Carlos Carrasco",271,"28968","Carlos Carrasco"
"102","Scott Barlow","KCR","14993",-0.719009444986073,-0.614801211462962,-0.966340423357016,0.890220622489988,0.161788589416959,1.80070547055009,0.552563602650984,102,"SP","Scott Barlow",163,"32156","Scott Barlow"
"103","Hunter Brown","HOU","25880",0.17879539871931,0.294838908832166,0.52033715103839,0.679730925650247,-0.390806571026758,-0.825458431404487,0.457437381808869,103,"SP","Hunter Brown",245,NA,"Hunter Brown"
