playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
10264,Brandon Belt,7.074823204,247,1.169595627,1.525706806,1.124541057,1.236973482,0.330125351,1.687880882,,,,,,,2022
15112,Ryan McMahon,7.071486482,222,1.307331227,1.42517262,1.543458155,1.313828479,0.510798156,0.970897845,,,,,,,2022
23735,Luis Garcia,7.041248609,,,,,,,,1.694079004,1.092383832,1.851975708,0.873443322,0.8771928,0.652173942,2022
3473,Anthony Rizzo,7.027171435,89,1.307331227,1.324638434,1.26418009,1.401237754,0.555966358,1.173817572,,,,,,,2022
22250,Logan Gilbert,7.018059688,163,,,,,,,1.888642324,1.805304932,2.023135925,0.471006184,1.499748561,-0.669778238,2022
13050,Anthony DeSclafani,6.977264782,157,,,,,,,2.212914523,2.518226033,1.7663956,0.3612506,0.788256263,-0.669778238,2022
15890,Luis Severino,6.959732792,152,,,,,,,1.607606418,1.567664565,1.809185654,1.056369294,1.588685098,-0.669778238,2022
sa3018052,Seiya Suzuki,6.933035232,113,0.928558326,1.123570062,1.054721541,1.247823631,1.052816573,1.5255451,,,,,,,2022
14221,Jorge Soler,6.90015095,159,1.204029527,1.927843549,1.508548397,1.378972862,-0.211893067,1.092649681,,,,,,,2022
15998,Cody Bellinger,6.899241335,84,1.376199028,1.626240992,1.508548397,1.263543059,0.059116142,1.065593718,,,,,,,2022
18036,Jake Cronenworth,6.896433652,91,1.479500728,0.620899132,1.124541057,1.417353053,1.323825782,0.930313899,,,,,,,2022
15816,Devin Williams,6.890797034,268,,,,,,,0.007863568,-0.571098736,0.568274081,2.794166029,1.588685098,2.502906995,2022
13896,Chris Flexen,6.887810611,242,,,,,,,2.537186723,2.518226033,1.745000573,0.324665406,0.432510114,-0.669778238,2022
7859,Charlie Blackmon,6.868378215,153,1.272897327,0.520364946,1.159450815,1.2687644,1.59483499,1.052065736,,,,,,,2022
11739,J.T. Realmuto,6.857325529,82,1.341765128,1.123570062,1.403819122,1.271465697,0.826975566,0.889729954,,,,,,,2022
12049,Kyle Hendricks,6.8528442,175,,,,,,,2.645277456,2.993506766,1.552445328,-0.278990302,0.610383189,-0.669778238,2022
