"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank"
"106","Bryan De La Cruz","MIA","19600",544,0.262039,0.742024,0.0201818404311729,0.131243391748099,0.468113385704104,0.214703051235917,0.791034869199378,0.512219245389345,2.13749578370802,103
"113","CJ Abrams","WSN","25768",570,0.260898,0.732322,0.710613223603042,-0.265129267893813,-0.141746137716165,0.140835285922375,1.00183968110925,0.669536713775265,2.11594949879996,104
"105","Trevor Story","BOS","12564",558,0.233046,0.709613,0.391952585216026,0.263367611628736,0.689880485129657,-0.0392248649935339,0.36312228602606,0.424235646730747,2.09333374973769,105
"109","Jeimer Candelario","CIN","13621",509,0.250227,0.765985,0.179512159624681,0.263367611628736,0.634438710273269,0.266960657638946,0.271648818201454,0.354762240104664,1.97069019747175,106
"103","Anthony Rizzo","NYY","3473",483,0.242471,0.77142,0.285732372420353,0.659740271270648,0.689880485129657,0.232677033658166,-0.0790418061378118,0.157116344660635,1.94610470100165,107
"117","Jeremy Peña","HOU","21636",542,0.263934,0.737994,0.285732372420353,-0.133005048013176,0.357229835991328,0.114921404955046,0.808241339352191,0.470287212783906,1.90340711748965,108
"120","Thairo Estrada","SFG","16426",561,0.260167,0.726176,0.445062691613862,-0.265129267893813,0.135462736565776,0.107983792264733,0.907491193596443,0.554784229347131,1.88565537549413,109
"102","Christopher Morel","CHC","21897",488,0.243378,0.781114,0.126402053226845,0.923988711031923,0.468113385704104,0.124398752096159,-0.0224304149279185,0.2552822389945,1.87575472612561,110
"119","Yoán Moncada","CHW","17232",551,0.250096,0.732089,0.126402053226845,-0.133005048013176,0.357229835991328,0.303485612621339,0.628678079668119,0.509018401301531,1.79180893479599,111
"114","Spencer Steer","CIN","26323",502,0.254296,0.773702,0.232622266022517,0.131243391748099,0.468113385704104,0.330342364984536,0.281604695857468,0.337753518599376,1.7816796229161,112
"115","Zack Gelof","OAK","29766",555,0.237814,0.718463,0.498172798011698,0.263367611628736,0.0800209617093874,0.026192905453757,0.429726566734039,0.456046801843685,1.7535276453813,113
"110","Matt Chapman","","16505",519,0.230189,0.743658,0.232622266022517,0.527616051390011,0.468113385704104,0.204552778156675,0.00150164055704355,0.30986326232371,1.74426938415406,114
"112","Max Kepler","MIN","12144",491,0.249899,0.778976,0.179512159624681,0.395491831509374,0.468113385704104,0.309180441817494,0.112069148273359,0.270069058003665,1.73443602493268,115
"111","Daulton Varsho","TOR","19918",503,0.238418,0.749531,0.126402053226845,0.791864491151286,0.523555160560493,-0.0453620742573447,0.0171055526790552,0.207620688956267,1.6211858723166,116
"118","Lars Nootbaar","STL","21454",477,0.257363,0.797381,0.445062691613862,0.131243391748099,0.246346286278552,0.43386772151479,0.114181149339288,0.24576150619428,1.61646274668887,117
"108","Max Muncy","LAD","13301",450,0.226816,0.796231,0.33884247881819,0.923988711031923,0.634438710273269,0.280773778048416,-0.593728516226187,-0.00625293515828641,1.57806222678732,118
"116","Will Smith","LAD","19197",452,0.256844,0.812814,0.179512159624681,0.395491831509374,0.634438710273269,0.363995768996195,-0.113932992805763,0.0976307599440621,1.55713623754182,119
"107","Byron Buxton","MIN","14161",473,0.231796,0.776635,0.126402053226845,1.1882371507932,0.468113385704104,0.00168321039125313,-0.334703499745657,0.0971326816865335,1.54686498205628,120
"123","Evan Carter","TEX","27790",518,0.250204,0.756865,0.33884247881819,-0.265129267893813,0.412671610847716,0.330463105424888,0.348276637770272,0.379563903652049,1.5446884686193,121
"124","Kris Bryant","COL","15429",482,0.26909,0.793841,0.073291946829009,-0.000880828132538659,0.357229835991328,0.37313586255917,0.351550509656799,0.271831084283355,1.42615841118712,122
"126","Ha-Seong Kim","SDP","27506",552,0.247573,0.722269,0.710613223603042,-0.265129267893813,-0.252629687428941,0.16040147769463,0.589593300782916,0.455424081139686,1.39827312789752,123
"121","J.D. Martinez","","6184",488,0.248411,0.765393,-0.0329282659666632,0.527616051390011,0.523555160560493,0.0684061726330488,0.0615852351325243,0.167586172993508,1.31582052674292,124
"125","Ryan McMahon","COL","15112",507,0.24457,0.754665,0.126402053226845,0.263367611628736,0.30178806113494,0.170744616801586,0.156421136450985,0.271645823816558,1.29036930305965,125
"129","Bryson Stott","PHI","26294",544,0.267289,0.740356,0.126402053226845,-0.529377707655088,0.0800209617093874,0.17178308084233,0.88872971297335,0.501846945427096,1.23940504652392,126
"130","DJ LeMahieu","NYY","9874",538,0.256688,0.731319,0.710613223603042,-0.529377707655088,-0.30807146228533,0.264732277333402,0.638777592005157,0.395493446073616,1.1721673690748,127
"135","Andrew Benintendi","CHW","17901",564,0.269605,0.730783,0.551282904409534,-0.925750367297,-0.529838561710882,0.331896523899699,1.1162740027366,0.609388183045711,1.15325268508366,128
"128","Cedric Mullins","BAL","17929",535,0.249622,0.732594,0.33884247881819,-0.133005048013176,0.0245791868529992,0.0429970423631537,0.483123503404617,0.37821185774517,1.13474902117095,129
"132","Charlie Blackmon","COL","7859",516,0.276934,0.773208,0.498172798011698,-0.661501927535726,-0.418955011998106,0.431882849692408,0.802963765375712,0.458657194635641,1.11121966818163,130
"122","Brent Rooker","OAK","19627",491,0.223234,0.744233,-0.0329282659666632,0.923988711031923,0.468113385704104,-0.00477863982788721,-0.335784915989029,0.0750716087910926,1.09368188374354,131
"133","Austin Hays","BAL","19363",517,0.255284,0.73793,-0.0329282659666632,-0.133005048013176,0.30178806113494,0.0111072901860782,0.429557516342606,0.259010744488361,0.835530298172146,132
"137","Lourdes Gurriel Jr.","ARI","19238",492,0.277056,0.77785,-0.192258585160171,-0.265129267893813,0.246346286278552,0.168356151065996,0.577663857296533,0.272640825811521,0.807619267398618,133
"127","Joc Pederson","","11899",441,0.254149,0.807707,0.073291946829009,0.527616051390011,0.246346286278552,0.192842662445079,-0.251231841667194,-0.0303168260735973,0.758548279201859,134
"140","Brendan Rodgers","COL","17907",507,0.275048,0.768239,-0.192258585160171,-0.397253487774451,0.0245791868529992,0.272794417297258,0.684997652001179,0.350313428381718,0.743172611598532,135
"148","Amed Rosario","","15518",557,0.275318,0.721304,0.232622266022517,-1.05787458717764,-0.141746137716165,0.0483405119567508,1.16056869439345,0.490560814234044,0.732471561712961,136
"142","Jake Cronenworth","SDP","18036",529,0.249223,0.735747,0.126402053226845,-0.529377707655088,0.0800209617093874,0.22897982252237,0.424670687534345,0.347032648066083,0.677728465403942,137
"141","Anthony Rendon","LAA","12861",481,0.256227,0.774706,0.073291946829009,-0.265129267893813,0.135462736565776,0.297552743291777,0.130704302895731,0.157547586492584,0.529430048181063,138
"138","Wilmer Flores","SFG","5827",461,0.262592,0.784189,-0.139148478762335,0.131243391748099,0.246346286278552,0.125926954147678,0.0557818330263213,0.0304079816457221,0.450557968084036,139
"139","Kerry Carpenter","DET","25961",472,0.255572,0.765917,-0.245368691558008,0.263367611628736,0.357229835991328,-0.0414501770420016,0.0412463727408922,0.0304273570076773,0.405452308768625,140
"143","Tommy Pham","","2967",502,0.246672,0.738244,0.179512159624681,-0.133005048013176,0.0800209617093874,-0.0313896083085481,0.150686490169706,0.134284601025916,0.380109556207967,141
"131","Nolan Gorman","STL","22263",434,0.245777,0.794086,-0.192258585160171,0.923988711031923,0.30178806113494,-0.0716375865952735,-0.436376261370635,-0.162520384666003,0.36298395437478,142
