"","name","team","position","points"
"389","Seth Lugo","KCR","P",2.63675474225078
"390","Clarke Schmidt","NYY","P",2.59375082969026
"391","Devin Williams","MIL","P",2.58728641341404
"392","MacKenzie Gore","WSN","P",2.5800037587036
"393","Josiah Gray","WSN","P",2.35943912910294
"394","Louie Varland","MIN","P",2.35074124157125
"395","Emmanuel Clase","CLE","P",2.33998310192662
"396","Tyler Anderson","LAA","P",2.2900604539069
"397","Cristopher Sánchez","PHI",NA,2.14022674338345
"398","Andrew Abbott","CIN","P",2.12293984022792
"399","Andrew Heaney","TEX","P",2.05835545352085
"400","Edward Cabrera","MIA","P",1.87368699272523
"401","John Means","BAL","P",1.67852720376527
"402","Reese Olson","DET",NA,1.651054181475
"403","Josh Hader","HOU","P",1.48239465668325
"404","Pete Fairbanks","TBR","P",1.45259417143647
"405","Frankie Montas","CIN","P",1.33648316151614
"406","Patrick Corbin","WSN","P",1.30128119388156
"407","Shane Baz","TBR","P",1.25406647149817
"408","Tanner Houck","BOS","P",1.24151354555518
"409","Martín Pérez","PIT","P",1.22158457164009
"410","Jack Flaherty","DET","P",1.1858348416645
"411","Kyle Hendricks","CHC","P",1.18088846712548
"412","Evan Phillips","LAD","P",1.1374196190777
"413","Ryan Helsley","STL","P",1.11593692809656
"414","Tanner Scott","MIA","P",1.01566173964775
"415","Steven Matz","STL","P",0.981575088540296
"416","Bryce Elder","ATL","P",0.94936039557575
"417","Raisel Iglesias","ATL","P",0.921700376163161
"418","Camilo Doval","SFG","P",0.908562931691685
"419","Wade Miley","MIL","P",0.872370547905337
"420","David Bednar","PIT","P",0.837322576752752
"421","Kutter Crawford","BOS","P",0.659325576828688
"422","Graham Ashcraft","CIN","P",0.65662988291874
"423","Andrés Muñoz","SEA","P",0.637523772238987
"424","Zack Littell","TBR","P",0.560672582487153
"425","Taj Bradley","TBR","P",0.501988907711638
"426","Jordan Romano","TOR","P",0.36832023791074
"427","Clay Holmes","NYY","P",0.315508079947458
"428","Paul Blackburn","OAK","P",0.289934173829972
"429","Kyle Freeland","COL","P",0.207808033774317
"430","Colin Rea","MIL","P",0.189375543828062
"431","Nick Lodolo","CIN","P",0.170974912738762
"432","Clayton Kershaw","","P",0.146369669773477
"433","Adbert Alzolay","CHC","P",0.0682236462861439
"434","Trevor Rogers","MIA","P",0.0498275516896473
"435","Paul Sewald","ARI","P",0.0458783405339092
"436","Chris Paddack","MIN","P",-0.067830899264733
"437","Kyle Harrison","SFG",NA,-0.138129799841624
"438","Emmet Sheehan","LAD",NA,-0.190340702089406
"439","José Alvarado","PHI","P",-0.307232939534122
"440","Craig Kimbrel","BAL","P",-0.319005987214881
"441","J.P. France","HOU",NA,-0.319188129514354
"442","Ross Stripling","SFG","P",-0.334140478664118
"443","Luis Severino","NYM","P",-0.371721602643353
"444","Mike Clevinger","","P",-0.398413150665375
"445","Jordan Wicks","CHC",NA,-0.451426504125264
"446","Alex Cobb","SFG","P",-0.544303245613112
"447","Alexis Díaz","CIN","P",-0.54470381102793
"448","Alek Manoah","TOR","P",-0.623088813344373
"449","Keaton Winn","SFG",NA,-0.633390047475645
