playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
19326,Bryan Reynolds,4.552194681,270,1.023112513,0.5144132297,0.7869240684,1.005657303,0.7074081873,0.5146793791,,,,,,,2021
18607,Jared Walsh,4.535600562,231,0.709367098,1.156060027,1.006538196,0.6811590618,0.1022916008,0.8801845777,,,,,,,2021
10762,Corey Dickerson,4.525191533,310,0.723959908,0.5558097973,0.7585867616,0.86831326,1.126335055,0.4921867515,,,,,,,2021
19294,Nick Solak,4.468921404,173,0.957444868,0.4109218107,0.8010927218,0.9031803388,1.005311738,0.3909699273,,,,,,,2021
16909,Colin Moran,4.450833449,#N/A,0.680181478,0.7006977838,0.985285216,0.8694539653,0.753955617,0.4612593886,,,,,,,2021
12649,Alex Dickerson,4.429151415,274,0.563438998,0.4109218107,0.6098159009,0.6414572544,1.098406597,1.105110854,,,,,,,2021
1744,Miguel Cabrera,4.413757971,344,0.629106643,0.7006977838,1.02070685,0.9485610898,0.7911935608,0.3234920445,,,,,,,2021
15112,Ryan McMahon,4.410489817,225,0.796923958,0.9490771894,1.013622523,0.872260347,0.1767674883,0.6018383111,,,,,,,2021
10243,Randal Grichuk,4.291782863,248,0.636403048,1.197456595,0.9073576223,0.543347193,0.1860769743,0.8211414302,,,,,,,2021
13757,Chris Taylor,4.280331531,175,0.964741273,0.5144132297,0.8861046422,0.8550578534,0.4188141229,0.6412004094,,,,,,,2021
5222,Justin Upton,4.27995023,289,0.950148463,1.425137717,1.247405304,0.7850466418,-0.6424672749,0.5146793791,,,,,,,2021
11342,Jesus Aguilar,4.197198597,#N/A,0.658292263,0.8455857704,0.9994538694,0.7678712942,0.2791718337,0.6468235663,,,,,,,2021
14350,Raimel Tapia,4.091855318,219,0.928259248,-0.3135181222,0.4043704265,0.8695357286,1.843165473,0.3600425643,,,,,,,2021
17992,David Fletcher,4.070399824,190,1.293079498,-0.437707825,0.4539607134,1.083562688,1.694213698,-0.01670894806,,,,,,,2021
17982,Ty France,4.063786567,#N/A,0.672885073,0.5765080811,0.7869240684,0.7400280501,0.7446461311,0.5427951636,,,,,,,2021
