"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"85","Lance McCullers Jr.","HOU","14120",0.712753656548193,0.70006511379759,0.882744122297892,0.0128030189247224,-0.725929049208115,-0.825896228817725,0.756540633542558,99,"SP"
"95","Sonny Gray","MIN","12768",0.712753656548193,0.658282654006626,0.737952850187794,-0.202063121866879,-0.379170534237895,-0.825896228817725,0.701859275820115,100,"SP"
"113","Zach Eflin","TBR","13774",0.6719782757388,0.240458056096991,0.737952850187794,-0.367027764331832,0.232973830856197,-0.825896228817725,0.690439019730225,101,"SP"
"173","A.J. Minter","ATL","18655",-0.918261575827537,-0.595191139722278,-0.999542415133376,1.29424738233168,1.13015369525581,0.694158180049252,0.605564126953551,102,"SP"
"125","Trevor Rogers","MIA","22286",0.264224467644868,0.365805435469882,0.448370305967599,0.176339572721293,0.0601725042293711,-0.724559268226594,0.590353017806419,103,"SP"
"124","Freddy Peralta","MIL","18679",0.325387538858957,0.616500194215663,0.448370305967599,-0.212936997013283,0.236094657490929,-0.825896228817725,0.58751947070214,104,"SP"
"102","Justin Steele","CHC","17312",0.61081520452471,0.553826504529218,0.737952850187794,0.0802904091391752,-0.743151388784969,-0.825896228817725,0.413837350778203,105,"SP"
"155","Jason Adam","TBR","11861",-0.918261575827537,-0.678756059304205,-0.999542415133376,0.756327183485102,1.00797911181464,1.20084298300491,0.368589228039532,106,"SP"
"77","Kyle Gibson","BAL","10123",1.20205822626091,0.616500194215663,1.02753539440799,-0.730578336768819,-0.983686212002644,-0.825896228817725,0.305933037295376,107,"SP"
"177","Aaron Ashby","MIL","23550",-0.408569315710121,-0.114692852126198,-0.275586054582888,1.34645422379443,0.272041956876174,-0.52188534704433,0.297762611207069,108,"SP"
"134","Garrett Whitlock","BOS","20191",0.468101371691834,0.407587895260845,0.303579033857502,-0.273426752752658,0.0993562164210059,-0.724559268226594,0.280638496251935,109,"SP"
"83","JT Brubaker","PIT","17578",1.01856901261864,0.804521263274999,0.882744122297892,-0.865349104530813,-0.82533315683291,-0.825896228817725,0.189255908010085,110,"SP"
"188","Taylor Rogers","SFG","13449",-0.95903695663693,-0.762320978886132,-0.999542415133376,1.21119382563185,1.09027646603424,0.59282121945812,0.173391160467768,111,"SP"
"116","Jack Flaherty","STL","17479",0.631202894929407,0.470261584947291,0.593161578077697,-0.509142988102654,-0.350273991323711,-0.724559268226594,0.110649810301436,112,"SP"
"94","Eric Lauer","MIL","19316",0.875855179785766,0.804521263274999,0.737952850187794,-0.840867584501386,-0.678423132657194,-0.825896228817725,0.0731423472722539,113,"SP"
"175","Jalen Beeks","TBR","17192",-1.02020002785102,-0.845885898468059,-0.999542415133376,1.291187192328,0.738663331854433,0.896832101231515,0.0610542839614937,114,"SP"
"112","Kyle Bradish","BAL","24586",0.6719782757388,0.512044044738254,0.737952850187794,-0.513366050307731,-0.602714190222031,-0.825896228817725,-0.0200012986826393,115,"SP"
"119","James Paxton","BOS","11828",0.651590585334104,0.70006511379759,0.448370305967599,-0.732128833037349,-0.399513700449481,-0.724559268226594,-0.0561757966141307,116,"SP"
"129","Jorge López","MIN","14527",-0.877486195018144,-0.824994668572578,-0.999542415133376,0.623331325925241,0.124207243327206,1.8088647465517,-0.145619962919949,117,"SP"
"191","Garrett Cleavinger","TBR","17897",-1.04058771825572,-0.657864829408724,-0.999542415133376,1.36787555382018,0.591522135335404,0.59282121945812,-0.145776054184112,118,"SP"
