"","Name","playerid","R","HR","RBI","RC","wba","wops","pr"
"183","Sean Murphy","19352",-0.636042423589131,0.157215150166795,-0.244730506832292,-0.404107542298806,-0.681496195813787,-0.439134924516399,-1.18197309152101
"184","Patrick Wisdom","13602",-0.113820859585769,1.00915130174631,0.374429955248148,-0.303401855341503,-0.500918054997561,-0.147883488855316,-1.29832269048076
"186","Ben Gamel","12160",0.0428456096152393,-0.451310672390002,-0.296327212005662,0.264775026045188,0.303579089887071,0.308256325725005,-1.29011767696603
"187","Christian Vázquez","9774",-0.531598110788459,-0.816426165924081,-0.451117327525772,-0.545018559751166,0.0251455785829493,-0.296939543592064,-1.54963077763598
"188","Luke Voit","14811",0.0950677660155756,0.887446137234952,0.632413481114998,0.376043675068254,-0.106963920299609,0.169164080340438,-1.54597928487035
"191","Adam Frazier","15223",0.512845017218265,-1.18154165945816,-0.451117327525772,0.187989622418092,1.04684935462819,0.515680882281199,-1.60666407280108
"192","Mike Zunino","13265",-0.636042423589131,0.765740972723593,-0.0899403913121822,-0.819848026231515,-1.22373714881174,-0.765850766346259,-1.70335443220462
"193","Wil Myers","10047",0.147289922415912,0.278920314678155,0.477623365594888,0.218814006812127,0.219843258460192,0.337461686400305,-1.75339387512607
"194","Alex Kirilloff","20325",-0.113820859585769,0.278920314678155,0.374429955248148,0.271090164136645,0.503342075257055,0.365801546686962,-1.57024989973312
"195","David Fletcher","17992",0.356178548017257,-1.54665715299224,-0.502714032699142,0.0865887379228602,1.45565116605174,0.601038219390396,-1.60364785631057
"197","Omar Narváez","13338",-0.583820267188795,-0.573015836901362,-0.502714032699142,-0.418954709529198,-0.357696542190302,-0.463263386570513,-1.8331414237167
"198","Josh Rojas","19734",0.565067173618601,-0.694721001412721,-0.347923917179032,0.11622084995779,0.442178511432204,0.289067548815828,-1.41717751010211
"202","Carson Kelly","13620",-0.740486736389804,-0.207900343367283,-0.347923917179032,-0.476822696292837,-0.682889154824291,-0.576833925372907,-1.96653342206354
"203","Travis d'Arnaud","7739",-0.79270889279014,-0.329605507878643,-0.296327212005662,-0.609406772729551,-0.512631573949525,-0.593827286662113,-2.06818389465302
"204","Elias Díaz","11680",-0.688264579989468,-0.329605507878643,-0.502714032699142,-0.569791597478622,-0.492940198846493,-0.586291100351247,-2.103283665881
"205","Yandy Díaz","16578",-0.113820859585769,-0.573015836901362,-0.141537096485552,0.221944890479675,0.19847400091269,0.0456508419514402,-1.64485041499062
"206","Hunter Dozier","15117",-0.166043015986105,0.0355099856554356,-0.141537096485552,-0.0733757788137998,-0.0785665513809285,0.0324889031143969,-1.70740324259163
"207","Adalberto Mondesi","13769",0.251734235216584,-0.0861951788559239,-0.141537096485552,-0.495228740723293,0.0955216667727233,-0.0269667516322465,-2.01855155440278
"208","Alec Bohm","21618",-0.113820859585769,-0.451310672390002,-0.0383436861388122,-0.086260262417748,0.269894808360342,0.00927871586286723,-2.0264416450042
"211","Joc Pederson","11899",-0.166043015986105,0.278920314678155,-0.0383436861388122,-0.173143327786308,-0.406196842283299,-0.192393429573689,-1.85913583093293
"213","Myles Straw","17620",0.773955799219946,-1.54665715299224,-0.760697558565993,-0.00788265967019196,0.838981880469823,0.290186366391391,-2.42962476769262
"214","Christian Walker","13419",0.147289922415912,0.0355099856554356,0.322833250074778,0.165274348324641,0.235830628921656,0.231100132542338,-2.4613122364102
"215","Miguel Rojas","7802",0.199512078816248,-1.0598364949468,-0.399520622352402,-0.0128817674689933,0.757557094674008,0.270754827178081,-2.46481489276797
"216","Paul DeJong","18015",-0.166043015986105,0.400625479189514,0.116446429381298,-0.232381657960312,-0.283489816721642,-0.112841277998072,-2.49808386876343
"217","José Iglesias","10231",-0.166043015986105,-1.0598364949468,-0.141537096485552,0.0343786112904867,0.819923668553384,0.224577214979152,-2.50893712126355
"218","Oneil Cruz","21711",-0.113820859585769,-0.0861951788559239,-0.0383436861388122,-0.146283721264863,0.0420826938243032,-0.0180584305588989,-2.58101919124808
"219","Eric Hosmer","3516",-0.166043015986105,-0.207900343367283,0.322833250074778,0.121896086790745,0.545700692440104,0.274449036153995,-2.70821479823873
"220","Evan Longoria","9368",-0.270487328786778,0.0355099856554356,0.0132530190345578,-0.24945187182031,-0.253984412226424,-0.248545406007586,-2.58958570284618
"221","Alejandro Kirk","22581",-0.897153205590812,-0.329605507878643,-0.502714032699142,-0.497575803525684,-0.805786129341926,-0.773967471210482,-2.74047879888407
"223","Kyle Lewis","19508",-0.270487328786778,0.278920314678155,-0.193133801658922,-0.164368519874816,-0.236635740913786,-0.141803876369239,-2.74502039547074
"224","Carlos Santana","2396",0.0428456096152393,0.157215150166795,0.219639839728038,0.248909512336385,-0.0158833959082548,0.175402016068339,-2.77102177233842
"225","Brian Anderson","18289",-0.427153797987787,-0.207900343367283,-0.0899403913121822,-0.109964309932909,-0.143529094325335,-0.129623541631511,-2.72399116725208
"226","Yadier Molina","7007",-1.00159751839148,-0.816426165924081,-0.399520622352402,-0.863241344317525,-0.298812365837185,-0.633281438524877,-2.94655610398494
"227","James McCann","12859",-0.949375361991149,-0.451310672390002,-0.554310737872513,-0.815264012822266,-0.58126646337617,-0.68113727708715,-2.96634117417663
"229","Max Stassi","10059",-0.740486736389804,-0.207900343367283,-0.657504148219253,-0.793495465143469,-0.960531212145172,-0.837982835321683,-3.13157738922405
