playerid,Name,Player Rater,ADP,R,HR,RBI,RC,AVG,OPS,IP,K/9,W,ERA,WHIP,SVHD,Year
2434,Nelson Cruz,10.1984860831298,61,1.16559978663358,2.18752367188115,1.98059233492283,1.58326574234962,1.2132962933414,2.06820825400125,,,,,,,2020
12161,Xander Bogaerts,10.0588101598704,36,1.65110832125479,1.37807140495524,1.88357135563843,1.88197262864482,1.71643428107693,1.54765216830017,,,,,,,2020
3473,Anthony Rizzo,9.78515937095121,39,1.65110832125479,1.37807140495524,1.78655037635404,1.87199503702791,1.33908079027529,1.75835344108394,,,,,,,2020
5417,Jose Altuve,9.59253060658143,27,1.74821002817903,1.10825398264661,1.30144547993207,1.76364720251704,2.1357159375232,1.53525797578348,,,,,,,2020
17484,Eloy Jimenez,9.55803390877713,48,1.26270149355782,2.18752367188115,1.78655037635404,1.60988667540932,1.2132962933414,1.4980753982334,,,,,,,2020
15640,Aaron Judge,9.52762780111088,64,1.55400661433054,1.91770624957252,1.30144547993207,1.6910364697847,0.710158305605875,2.35327468188517,,,,,,,2020
13145,Josh Bell,9.51335369524655,54,1.35980320048206,1.64788882726388,1.98059233492283,1.91363330834283,0.877870968184385,1.73356505605056,,,,,,,2020
15429,Kris Bryant,9.5085423470705,41,2.03951514895175,1.64788882726388,1.39846645921646,1.82653309624775,0.961727299473639,1.63441151591702,,,,,,,2020
13510,Jose Ramirez,9.49017930940267,24,1.65110832125479,1.64788882726388,1.88357135563843,1.71912059427705,1.00365546511827,1.58483474585025,,,,,,,2020
9218,Paul Goldschmidt,9.09174441519674,45,1.65110832125479,1.64788882726388,1.68952939706965,1.81877643890203,0.835942802539757,1.44849862816663,,,,,,,2020
12552,Eugenio Suarez,9.06652127755157,74,1.35980320048206,2.18752367188115,1.78655037635404,1.63489761308464,0.500517477382739,1.59722893836694,,,,,,,2020
16997,Gleyber Torres,9.0625448575216,31,1.55400661433054,1.91770624957252,1.78655037635404,1.55518019234123,0.961727299473639,1.28737412544963,,,,,,,2020
5038,Josh Donaldson,9.04869161766851,96,1.55400661433054,1.91770624957252,1.68952939706965,1.80393970522977,0.374732980448857,1.70877667101717,,,,,,,2020
14344,Matt Olson,8.95936102326729,53,1.35980320048206,2.45734109418979,1.98059233492283,1.59761038334703,0.16509215222572,1.39892185809986,,,,,,,2020
4949,Giancarlo Stanton,8.92906006090748,55,1.26270149355782,2.18752367188115,1.78655037635404,1.44290477683689,0.416661146093484,1.8327185961841,,,,,,,2020
13613,Ketel Marte,8.88714897762538,40,1.55400661433054,1.10825398264661,1.20442450064767,1.81360280511237,1.75836244672156,1.44849862816663,,,,,,,2020
11493,Manny Machado,8.84908780556972,38,1.35980320048206,1.91770624957252,1.88357135563843,1.71342038208762,0.835942802539757,1.13864381524933,,,,,,,2020
15672,Austin Meadows,8.67843639922146,42,1.35980320048206,1.64788882726388,1.30144547993207,1.5711678523518,1.2132962933414,1.58483474585025,,,,,,,2020
