"","Name","Team","playerid","R","HR","RBI","RC","AVG","OPS"
"343","Eric Hosmer","SDP","3516",56,15,63,65.7014398422091,0.264,0.735
"344","Nick Gordon","MIN","16337",20,3,17,18.7645614035088,0.25,0.683
"345","Gabriel Arias","CLE","sa3004047",12,3,11,12.5163846153846,0.256,0.705
"346","Nick Pratto","KCR","sa3004138",35,11,36,36.1948857142857,0.23,0.739
"347","Tyler Wade","LAA","15730",34,3,20,23.9751361867704,0.226,0.627
"348","Starlin Castro","","4579",17,4,18,19.78944,0.272,0.741
"349","Aristides Aquino","CIN","15482",39,17,42,40.3482608695652,0.224,0.768
"350","Yu Chang","CLE","14773",25,7,27,24.3694112149533,0.231,0.693
"351","Triston Casas","BOS","sa3007634",23,6,22,24.1291885714286,0.248,0.761
"352","Josh Lowe","TBR","19953",28,8,28,28.0648384279476,0.237,0.719
"353","Nolan Jones","CLE","sa917941",19,5,17,19.0690864197531,0.229,0.709
"354","Mauricio Dubón","SFG","16530",15,3,13,15.2903816793893,0.257,0.695
"355","Yoshi Tsutsugo","PIT","27459",54,17,56,57.759266075388,0.227,0.732
"356","Brett Phillips","TBR","14735",26,7,23,20.5569696969697,0.196,0.67
"357","Cam Gallagher","KCR","12981",10,2,10,11.114214953271,0.241,0.644
"358","Yonny Hernandez","TEX","19432",13,1,7,10.8740366972477,0.238,0.642
"359","Garrett Hampson","COL","19262",50,10,34,44.7644251968504,0.25,0.71
"360","Jurickson Profar","SDP","10815",52,10,44,51.2117551020408,0.235,0.693
"361","Mitch Moreland","","3086",31,12,35,33.0279130434783,0.236,0.745
"362","Jose Trevino","TEX","16725",17,4,18,17.1898603351955,0.235,0.623
"363","Lewin Díaz","MIA","18365",25,10,28,25.9491787439614,0.234,0.733
"364","Clint Frazier","CHC","15983",40,13,39,45.0538947368421,0.234,0.743
"365","Robinson Canó","NYM","3269",37,10,40,42.5685358255452,0.262,0.738
"366","Cooper Hummel","ARI","sa918412",16,4,14,17.4985658914729,0.241,0.753
"367","Edward Olivares","KCR","19698",16,4,15,16.988303030303,0.256,0.735
"368","Juan Yepez","STL","sa877505",23,8,25,25.8129787234043,0.247,0.764
"369","Jake Rogers","DET","19452",7,3,8,7.05041791044776,0.203,0.667
"370","Nick Fortes","MIA","21538",10,2,11,10.8946078431373,0.236,0.658
"371","Brent Rooker","MIN","19627",26,9,26,27.0071619047619,0.222,0.733
"372","Justin Upton","LAA","5222",45,17,46,44.4952549575071,0.223,0.732
"373","Orlando Arcia","ATL","13185",14,4,13,13.9899159663866,0.249,0.704
"374","Kelvin Gutierrez","BAL","17468",30,6,30,33.1023602484472,0.238,0.646
"375","Greg Allen","PIT","16623",26,3,19,24.2355339805825,0.244,0.682
"376","Willi Castro","DET","17338",17,3,15,15.6956928571429,0.251,0.688
"377","Luis Guillorme","NYM","16451",12,1,10,13.1938983050847,0.248,0.668
"378","Christian Arroyo","BOS","16434",17,4,16,17.0057313432836,0.248,0.721
"379","Jake Burger","CHW","22275",11,4,12,11.9996875,0.241,0.707
"380","Adam Eaton","","11205",23,4,17,21.4271111111111,0.246,0.705
"381","Brennen Davis","CHC","sa3007876",23,6,20,21.7292470588235,0.237,0.737
"382","Hanser Alberto","LAD","11902",12,2,12,13.2764727272727,0.275,0.695
"383","Alex Dickerson","ATL","12649",33,11,34,37.0174285714286,0.253,0.784
"384","Matt Beaty","LAD","17710",22,5,22,21.5575903614458,0.254,0.736
"385","Willie Calhoun","TEX","17838",47,15,47,53.6969082125604,0.253,0.737
"386","Tomás Nido","NYM","13755",17,4,18,15.9924971751412,0.219,0.605
"387","Jace Peterson","MIL","12325",25,5,22,25.072676056338,0.235,0.697
"388","Richie Palacios","CLE","sa3006908",7,1,6,8.02883333333333,0.259,0.731
"389","Sheldon Neuse","OAK","19635",19,5,19,18.1549945355191,0.23,0.643
"390","Rylan Bannon","BAL","sa3004162",13,4,13,12.9585950413223,0.219,0.679
"391","William Contreras","ATL","20503",6,2,6,6.63033962264151,0.244,0.737
"392","Garrett Stubbs","PHI","18067",9,1,7,7.97333333333333,0.218,0.615
"393","Keston Hiura","MIL","20003",37,13,38,38.0142906574394,0.23,0.746
"394","Tyler Freeman","CLE","sa3004755",6,0,5,6.23914893617021,0.285,0.725
"395","Owen Miller","CLE","24655",16,3,16,17.1080191082803,0.247,0.67
"396","CJ Abrams","SDP","sa3010152",15,2,12,12.514528,0.236,0.644
"397","Geraldo Perdomo","ARI","22799",11,1,9,10.2488910891089,0.233,0.658
"398","Alex Jackson","MIA","17276",10,4,12,9.07012765957447,0.19,0.627
"399","Vimael Machín","","17684",14,3,11,13.4175384615385,0.227,0.648
"400","Shed Long Jr.","BAL","16542",15,4,15,15.6597622377622,0.23,0.68
"401","Andrew Velazquez","LAA","14196",11,2,9,9.52160638297872,0.223,0.648
"402","Seth Beer","ARI","20493",38,11,40,43.3884590163934,0.251,0.759
"403","Kurt Suzuki","LAA","8259",17,5,20,18.4361927710843,0.234,0.667
"404","Ernie Clement","CLE","20352",10,1,8,10.6216326530612,0.254,0.664
"405","Sergio Alcántara","CHC","16417",10,1,8,9.33143010752688,0.228,0.639
"406","Reese McGuire","TOR","15674",8,1,7,8.30731707317073,0.233,0.632
"407","Harold Ramirez","CHC","14387",14,4,15,17.0704251968504,0.277,0.745
"408","Alcides Escobar","WSN","6310",49,6,40,44.5719421686747,0.253,0.657
"409","Lars Nootbaar","STL","21454",32,9,31,34.1266666666667,0.248,0.723
"410","Curtis Terry","MIN","18881",7,2,8,7.54329230769231,0.227,0.696
"411","Jose Siri","HOU","17452",22,6,21,19.2190055248619,0.226,0.67
"412","Marwin Gonzalez","NYY","5497",14,4,14,14.1283076923077,0.222,0.668
"413","Michael Hermosillo","CHC","16285",9,3,8,8.35060606060606,0.223,0.715
"414","Skye Bolt","OAK","17723",6,1,5,6.22766666666667,0.219,0.649
"415","Romy Gonzalez","CHW","21562",7,2,7,6.47793103448276,0.232,0.707
"416","Daz Cameron","DET","18353",21,5,17,19.5984941176471,0.23,0.69
"417","Jackie Bradley Jr.","BOS","12984",35,8,30,31.4742105263158,0.216,0.652
"418","Renato Núñez","","14503",11,4,12,11.5234772727273,0.239,0.743
"419","Yairo Muñoz","PHI","16313",8,1,8,7.87333333333333,0.286,0.7
"420","Jake Marisnick","","11339",17,5,16,15.5831836734694,0.222,0.66
"421","Zach McKinstry","LAD","19392",13,2,13,11.3231683168317,0.237,0.682
"422","Danny Mendick","CHW","18889",16,3,13,13.5481942446043,0.227,0.635
"423","Raimel Tapia","TOR","14350",61,5,43,57.5598712446352,0.28,0.72
"424","Jose Herrera","ARI","sa830295",4,1,4,4.04615384615385,0.223,0.646
"425","Zack Short","DET","19562",6,2,6,6.052,0.207,0.672
"426","Matt Thaiss","LAA","19318",9,2,9,8.39384615384615,0.221,0.663
"427","Jacob Nottingham","BAL","16448",10,3,11,8.74227272727273,0.203,0.63
"428","Rodolfo Castro","PIT","21987",8,2,9,7.74571428571429,0.235,0.679
"429","Nick Allen","OAK","sa3004723",16,2,13,15.1203456790123,0.231,0.615
"430","TJ Friedl","CIN","19522",22,5,18,23.2797675675676,0.247,0.712
"431","Derek Hill","DET","16947",19,4,15,17.3321463414634,0.233,0.657
"432","Corey Dickerson","STL","10762",36,8,34,40.1234227129337,0.265,0.73
"433","Drew Ellis","ARI","19873",14,4,13,12.7296875,0.214,0.674
"434","Trevor Larnach","MIN","21501",33,9,32,35.1836498316498,0.232,0.693
"435","José Godoy","MIN","15808",4,0,4,4.0746,0.244,0.643
"436","Ryan McKenna","BAL","19928",9,2,8,8.71964,0.227,0.711
"437","Josh Jung","TEX","sa3011468",6,2,7,7.326,0.254,0.737
"438","Rafael Marchan","","21646",8,1,7,7.75470588235294,0.23,0.606
"439","Emmanuel Rivera","KCR","19890",10,3,10,10.3877647058824,0.251,0.71
"440","Khalil Lee","","19952",10,2,8,10.052275,0.224,0.71
"441","Albert Almora Jr.","","14109",4,1,4,4.89142857142857,0.255,0.714
"442","Austin Romine","","5491",8,2,9,7.17218181818182,0.232,0.619
"443","Taylor Trammell","SEA","19960",7,2,6,7.025,0.21,0.664
"444","Chance Sisco","","15694",5,1,6,4.66953846153846,0.2,0.599
"445","Tres Barrera","WSN","19977",7,1,7,7.18608219178082,0.226,0.621
"446","Bryan Lavastida","CLE","sa3006917",3,1,3,2.98615384615385,0.249,0.697
"447","Brian Goodwin","","12858",23,6,22,22.3745025641026,0.23,0.7
"448","Yadiel Hernandez","WSN","19334",39,11,39,41.6900186915888,0.255,0.734
"449","Tim Locastro","NYY","15124",15,2,10,12.3306363636364,0.239,0.669
"450","Elehuris Montero","COL","sa872477",5,2,6,6.11863636363636,0.257,0.766
"451","Royce Lewis","MIN","sa3004259",5,1,5,4.97840909090909,0.241,0.683
"452","Dustin Garneau","DET","9433",4,1,4,4.03784615384615,0.206,0.658
