Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Angel Aponte",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.194095,0.053,0.2782,0.19051,0.245346,0.28832,0.236826,0.533665,0.0942249,4.5028,0.254936,0,-0.000838708,0.0541174,-0.0677268,44.5966,-0.000838708,0,-0.06834934308426455,-0.012000000104308128,-0.00462011,999,,,,"sa3003319"
"Bryce Arnold","TOR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.172278,0.0633,0.2615,0.242065,0.232867,0.237307,0.213723,0.470174,0.0650291,3.89788,0.226803,0,-0.00115856,0.0349306,-0.0869136,30.5791,-0.00115856,0,-0.08433926396537572,0.004000000189989805,-0.00462324,999,,,,"sa3022557"
"Yoander Rivero","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.17323,0.0595,0.3,0.198333,0.229747,0.235955,0.211201,0.465702,0.062725,3.83866,0.244358,0,-0.00117503,0.032836,-0.0890081,26.3333,-0.00117503,0,-0.09243693901225924,0.012000000104308128,-0.0046247,999,,,,"sa3008782"
"Samil Polanco",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.192642,0.033,0.2113,0.156176,0.226125,0.267918,0.217951,0.494042,0.0752757,3.79054,0.233613,0,-0.00121513,0.0384419,-0.0834023,31.7324,-0.00121513,0,-0.08440121333114803,0.004000000189989805,-0.00462528,999,,,,"sa3006676"
"Victor Rodrigues","LAD",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.156844,0.0539,0.2695,0.2,0.210728,0.220992,0.196096,0.43172,0.0641485,3.64817,0.203589,0,-0.00111972,0.020291,-0.101553,18.9714,-0.00111972,0,-0.10150187707040459,0.020999999716877937,-0.00463118,999,,,,"sa3018520"
"Mishael Deson","BAL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.174398,0.0536,0.3179,0.168606,0.225923,0.246369,0.212319,0.472292,0.0719705,3.83856,0.2462,0,-0.00116396,0.0337645,-0.0880797,30.5096,-0.00116396,0,-0.08442794403526932,0.004000000189989805,-0.00463209,999,,,,"sa3008828"
"Aiverson Rodriguez","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.205557,0.0548,0.2389,0.229385,0.255812,0.290211,0.242484,0.546022,0.0846538,4.34418,0.261434,0,-0.00126784,0.0588168,-0.0630274,32.7411,-0.00126784,0,-0.08459141210187227,0.004000000189989805,-0.00464011,999,,,,"sa3008824"
"Jared Dickey","KCR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.202563,0.0535,0.2287,0.233931,0.253598,0.28815,0.240997,0.541748,0.0855871,4.00801,0.251095,0,-0.00130065,0.0575819,-0.0642622,43.9046,-0.00130065,0,-0.06851461017504334,-0.012000000104308128,-0.00464073,999,,,,"sa3022688"
"Isaiah Greene","CLE",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.168291,0.0948,0.3443,0.275341,0.2539,0.25,0.231531,0.5039,0.081709,4.36187,0.252588,0,-0.00101514,0.0497202,-0.072124,43.6339,-0.00101514,0,-0.06855355168227106,-0.012000000104308128,-0.00464461,999,,,,"sa3014460"
"Franklin Lopez","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.185336,0.043,0.2707,0.158847,0.229848,0.269834,0.22188,0.499683,0.084498,3.51341,0.239077,0,-0.0012141,0.0417051,-0.080139,18.9286,-0.0012141,0,-0.10164928715676069,0.020999999716877937,-0.00464588,999,,,,"sa3018936"
