Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Freddy Peralta","MIL",11,9,15,3.67799,29,29,0,0,165,689,137,73,68,22,58,,8,197,10.7487,3.13901,3.42424,1.213,0.286633,0.083707,0.20292580127716064,0.219913,1.17836,0.284378,0.746486,0.380554,,3.80153,3.26532,3.43206,56.290000915527344,,,,"18679"
"Blake Snell",,12,9,16,3.65633,31,31,0,0,174,737,141,76,71,20,80,,5,218,11.2813,4.15486,2.71521,1.051,0.29532,0.108765,0.18655485659837723,0.217013,1.2761,0.292802,0.751377,0.412,,3.74061,3.25134,3.69681,64.06999969482422,,,,"13543"
"Jordan Montgomery",,12,11,17,3.93825,32,32,0,0,188,793,185,89,82,24,51,,7,171,8.19186,2.44648,3.34843,1.145,0.215719,0.064424,0.15129496902227402,0.25133,1.25515,0.297769,0.724638,0.446,,4.0093,3.1532,3.27119,135.2899932861328,,,,"16511"
"Carlos Rodón","NYY",12,8,15,3.7806,29,29,0,0,166,695,140,75,70,24,53,,7,198,10.725,2.85916,3.75112,1.301,0.285048,0.07599,0.20905792713165283,0.221065,1.16232,0.281775,0.743131,0.334193,,3.83042,3.12025,2.87815,168.7100067138672,,,,"16137"
"Sonny Gray","STL",12,9,16,3.82465,31,31,0,0,180,764,170,83,77,20,59,,8,172,8.60525,2.96946,2.89791,1.011,0.225553,0.077833,0.14772015810012817,0.244588,1.27539,0.29786,0.726605,0.463437,,3.92389,3.10356,3.33979,116.63999938964844,,,,"12768"
"Shane Bieber","CLE",11,11,18,3.91187,31,31,0,0,193,813,189,91,84,25,51,,6,182,8.49883,2.39606,3.547,1.165,0.223897,0.063123,0.1607741191983223,0.250239,1.24673,0.299193,0.726363,0.469624,,3.9473,2.93387,2.98794,183.13999938964844,,,,"19427"
"Eduardo Rodriguez","ARI",11,10,15,3.98044,31,31,0,0,177,754,172,85,78,21,58,,6,169,8.58927,2.94644,2.91514,1.09,0.22418,0.0769019,0.14727798849344254,0.249279,1.29921,0.301343,0.726132,0.433343,,3.99652,2.89843,3.10972,187.92999267578125,,,,"13164"
"Chris Sale","ATL",11,7,12,3.73685,26,26,0,0,141,586,124,63,59,19,41,,7,163,10.3776,2.61696,3.96552,1.218,0.277428,0.0699601,0.2074679508805275,0.230563,1.1699,0.294624,0.737701,0.398243,,3.73821,2.79252,2.91189,171.36000061035156,,,,"10603"
"Joe Musgrove","SDP",11,10,16,3.83665,29,29,0,0,177,743,166,82,75,23,46,,12,175,8.91483,2.32723,3.83067,1.195,0.235946,0.061594,0.17435204610228539,0.242185,1.19677,0.29282,0.727507,0.430665,,3.97302,2.76865,2.84247,103.06999969482422,,,,"12970"
"Logan Gilbert","SEA",12,11,17,3.86207,32,32,0,0,187,775,175,86,80,27,44,,6,185,8.92313,2.12586,4.19743,1.303,0.23914,0.0569729,0.18216704577207565,0.241207,1.17124,0.28839,0.733062,0.386911,,3.9626,2.75978,2.9166,64.56999969482422,,,,"22250"
"Mitch Keller","PIT",11,11,16,4.21235,32,32,0,0,190,814,185,96,89,23,67,,10,177,8.39735,3.16846,2.6503,1.091,0.217958,0.082239,0.1357189267873764,0.251302,1.32572,0.30226,0.709484,0.451904,,4.18381,2.75642,2.90173,162.42999267578125,,,,"17594"
"Grayson Rodriguez","BAL",11,9,15,3.5999,29,29,0,0,166,692,144,72,66,20,57,,6,181,9.83191,3.10101,3.17055,1.097,0.261529,0.0824869,0.17904193699359894,0.228842,1.21351,0.28924,0.746279,0.441647,,3.79449,2.73312,3.23144,999,,,,"24492"
"Hunter Greene","CIN",10,9,13,4.25224,28,28,0,0,159,674,137,80,75,26,63,,9,195,11.064,3.54637,3.11982,1.474,0.289878,0.092915,0.19696299731731415,0.226854,1.25436,0.290313,0.733802,0.35293,,4.27101,2.71402,2.88285,142.5,,,,"22182"
"Dylan Cease","CHW",10,11,15,4.12393,31,31,0,0,178,767,157,88,82,26,76,,8,201,10.1351,3.83777,2.64089,1.305,0.261937,0.099185,0.16275207698345184,0.229426,1.30508,0.286732,0.738275,0.379208,,4.29597,2.69431,2.76233,110.56999969482422,,,,"18525"
